Time,Cell
1961.765,8
97.316,9
116.817,9
171.423,9
214.328,9
237.73,9
261.133,9
323.54,9
346.942,9
434.687,9
471.755,9
495.159,9
534.161,9
631.673,9
694.079,9
781.836,9
807.191,9
869.598,9
982.714,9
998.312,9
1033.416,9
1142.627,9
1169.929,9
1318.146,9
1341.549,9
1368.852,9
1442.96,9
1470.263,9
1546.32,9
1614.578,9
1684.785,9
1805.699,9
1829.101,9
1946.113,9
7.556,10
77.763,10
105.066,10
132.368,10
163.572,10
198.676,10
237.679,10
272.784,10
319.589,10
350.792,10
397.597,10
446.352,10
487.306,10
518.51,10
627.721,10
658.925,10
694.028,10
744.735,10
787.64,10
889.049,10
920.253,10
974.87,10
1087.971,10
1123.074,10
1247.888,10
1279.091,10
1318.095,10
1357.1,10
1485.814,10
1537.504,10
1579.423,10
1680.835,10
1825.15,10
1860.254,10
1895.358,10
136.22,11
159.622,11
233.73,11
342.942,11
417.049,11
471.656,11
545.763,11
565.266,11
686.179,11
701.78,11
768.083,11
784.675,11
873.399,11
889.001,11
935.805,11
955.308,11
1006.013,11
1099.623,11
1119.125,11
1162.03,11
1185.432,11
1251.74,11
1271.241,11
1325.848,11
1349.25,11
1368.752,11
1427.258,11
1501.366,11
1520.868,11
1575.474,11
1653.482,11
1704.187,11
1719.79,11
1774.395,11
1848.503,11
1868.006,11
1969.416,11
3.556,12
116.668,12
136.171,12
221.98,12
245.382,12
303.889,12
327.291,12
389.697,12
417,12
444.304,12
526.212,12
549.614,12
604.219,12
631.523,12
658.826,12
748.535,12
771.937,12
807.043,12
838.245,12
865.549,12
959.159,12
978.661,12
1009.864,12
1037.167,12
1068.371,12
1161.981,12
1185.383,12
1208.785,12
1241.939,12
1271.192,12
1317.996,12
1349.199,12
1384.304,12
1458.412,12
1485.715,12
1516.919,12
1552.022,12
1630.03,12
1653.433,12
1688.537,12
1715.84,12
1789.948,12
1817.251,12
1852.355,12
1883.557,12
1912.81,12
81.515,13
101.017,13
124.42,13
151.723,13
179.026,13
210.229,13
241.432,13
272.636,13
315.54,13
346.744,13
424.751,13
455.955,13
487.159,13
522.263,13
611.972,13
635.374,13
666.578,13
709.483,13
748.486,13
783.591,13
881.101,13
908.403,13
943.508,13
978.612,13
1017.616,13
1099.524,13
1130.728,13
1161.931,13
1197.034,13
1236.046,13
1314.047,13
1343.296,13
1380.354,13
1419.359,13
1466.164,13
1505.168,13
1540.272,13
1575.376,13
1653.384,13
1684.587,13
1723.591,13
1762.596,13
1801.6,13
1918.612,13
1945.915,13
61.963,14
79.515,14
97.067,14
120.468,14
147.772,14
178.975,14
214.079,14
245.281,14
276.486,14
311.589,14
354.495,14
389.598,14
428.602,14
463.705,14
502.709,14
543.666,14
576.817,14
611.922,14
658.726,14
791.341,14
814.742,14
845.946,14
877.151,14
910.302,14
947.358,14
982.46,14
1025.366,14
1068.271,14
1103.373,14
1138.479,14
1189.183,14
1224.286,14
1263.291,14
1310.097,14
1349.1,14
1395.906,14
1442.71,14
1563.624,14
1594.833,14
1629.931,14
1668.935,14
1711.839,14
1746.944,14
1789.847,14
1828.853,14
1871.757,14
1926.362,14
1967.316,14
112.618,15
132.121,15
200.378,15
245.233,15
288.137,15
311.541,15
381.748,15
409.05,15
481.213,15
500.709,15
572.868,15
631.374,15
650.876,15
728.885,15
756.187,15
814.694,15
834.196,15
916.104,15
959.01,15
980.462,15
1025.316,15
1099.425,15
1126.727,15
1202.784,15
1224.238,15
1286.644,15
1321.748,15
1376.354,15
1407.557,15
1462.163,15
1493.367,15
1551.873,15
1633.782,15
1727.392,15
1766.396,15
1789.799,15
1879.508,15
1922.413,15
1949.715,15
79.415,16
100.867,16
120.37,16
151.574,16
256.884,16
284.187,16
319.292,16
409.001,16
440.205,16
471.408,16
514.312,16
557.217,16
604.022,16
650.828,16
722.984,16
763.939,16
799.042,16
841.947,16
884.852,16
997.963,16
1029.167,16
1068.172,16
1107.176,16
1157.881,16
1206.637,16
1241.727,16
1290.495,16
1341.199,16
1388.006,16
1485.516,16
1524.52,16
1567.425,16
1606.429,16
1653.235,16
1700.039,16
1785.849,16
1820.952,16
1883.359,16
1930.164,16
50.113,17
77.415,17
104.717,17
141.768,17
178.828,17
260.735,17
291.939,17
323.142,17
366.047,17
420.653,17
451.856,17
483.059,17
529.865,17
553.268,17
603.972,17
631.275,17
662.478,17
693.683,17
717.084,17
752.188,17
779.491,17
806.794,17
