,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteTotalSurfaceTest,BasalDendriteTotalVolumeTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteTotalSurfaceTest,ApicalDendriteTotalVolumeTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
morphology-data/TCs/urban/Burton2017/Burton-et-al--2017-Fig--13I-pair1-2.CNG.swc,-0.5569098571448143,-0.2800476681566288,-0.542337959507832,2.0443992345242563,-0.26269978435185143,0.33501419037987906,-0.16185657837223816,0.2717223491994532,-0.12454139367672562,2.5530325323249303,1.0212871655712794,0.434273613770807,-0.24889732481004,-0.2644874870471082,-1.3166035657604058,-0.42895494034714604,0.3955242173325601,0.43575143097227015,0.3365453396123464,1.3414075468368691,0.8154133270260712,0.7516736826070396,0.056310493008666244,-1.233003605573164,0.20779866985589796,1.7658621457276387,2.4927242169652932,3.1492212826588144,1.0613878549560118,0.8883138492922114,0.2872563971108025,-0.20318028852615339,1.1804034966732126,0.5972728153536413,0.6410875133845639,1.773232511777037,-0.10624855029787085
morphology-data/TCs/urban/Burton2017/Burton-et-al--2017-Fig--14G.CNG.swc,-1.010170210780977,1.9462274824122299,1.5946807131667826,0.5267154801325336,-0.031669025521131544,0.35413757215505276,-0.12506524608996167,0.7147311382099413,0.2768607362875337,3.033541912895456,1.0596695454421217,1.0380691945490406,1.651714361579894,0.46113291059685935,0.4902227449180037,-0.0414891418757968,-0.010588736650986145,1.4276142955447033,0.049523500473425276,1.8129554612916932,1.3050522474657915,0.659553990233239,-0.6924378601481997,-1.0735779633071272,-0.894545042857,0.47429235539980474,0.2621221882836249,0.2132770624790945,-0.36745276937881943,-0.9078848163555295,1.1188984240770283,0.9707070085186533,0.7827116284550745,-0.827135217145703,1.217352248150149,2.7276145326969248,-0.7600527739905992
morphology-data/TCs/urban/BurtonUrban2014/SDB131007c3.CNG.swc,-0.10364950350865172,0.3560309462916165,0.34808648743992404,-0.5482252070841703,1.6136799297124973,1.2102276296236623,0.2401101171211019,1.22765910173566,0.80168527893674,2.480371691208085,1.012833240347261,0.8509609883020491,0.7014085183849269,-0.04715473349678244,0.5236838935354262,-0.5657878540789377,0.13212287963105396,-0.24542995420480265,0.10073792363171803,0.1444013024515469,-0.4463485064147469,-0.23737971398336274,0.13478577585774573,-1.0533471605466864,1.0475227611203328,0.2018724300517919,1.3494967016626154,3.5264535737049014,-0.1744739774557641,0.4229972856338346,-0.12856461637231037,-1.2380205193066185,0.3888800315891279,-0.4620564211231546,-2.8853905054247653,-1.224087316452788,0.5866760086501963
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-08-SDB20130508pair2_0.CNG.swc,0.34961085012751086,-0.2800476681566288,-0.36425307011828084,-0.4423521970769478,2.418968408718245,-0.2690721916958858,-0.3103053260693318,0.9324784363354096,0.009356280822492478,1.1054189996885695,2.1430473027570507,1.1610755544791171,0.22625559678744345,0.32440755008859673,1.049479634453321,-0.30330546351735355,-0.5714791580416739,-1.4160154923666104,0.08511568232300216,0.1444013024515469,-0.4275162402439884,2.7910929267776194,-0.9151625405813673,-1.3507572524095746,-0.2584885965720719,-0.016322718872591322,0.29009120342390654,0.6347649623118454,1.2287177103454399,0.2720594323957677,-0.12856461637231037,-0.0920415164593015,0.510740825878275,0.44743213523593545,0.7374364139752092,0.9487893768788085,0.4153559197733593
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-21-SDB130828c4.CNG.swc,0.34961085012751086,-1.5522048970531195,-1.7889321852346904,-0.34356845420925197,-1.7680555206328308,0.2374849433264931,2.070179433831839,-1.0222588258467555,-1.9430066146773264,-0.6964834456388147,-1.7140532961412065,-2.1343716926509093,-1.199203168005007,-0.4944572970621312,-1.3166035657604058,-2.064133178803751,-2.4965161063758794,-2.1951438789662787,0.14834154573280667,-0.0369632800310777,-0.6158389019515732,-0.9132563596806699,0.5753289725360446,-1.0194562431018457,0.5495446725041849,-0.04021590293281035,0.42348475254726115,0.8326250413472306,-0.36564012368739673,0.31999270913040795,-0.5443856298554233,-1.6927876223720044,-0.6824186977185777,-0.15786960080219836,-1.2737481377405027,-1.1981986194468737,0.38343012893279327
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-07-SDB20130508pair1_1.CNG.swc,-0.10364950350865172,-0.916126282604874,-1.254677517066037,1.175536209328971,-1.2587598307817556,0.29124289431670364,-0.4433102703316553,-0.2897754885844957,-1.3925029811758844,-0.5173246248384548,0.03653296674920342,-0.09283065001592052,-0.24889732481004,-0.5494520845909246,1.049479634453321,1.1227271340506337,-0.35191874397035255,-0.9099504707810624,0.0953585669546607,0.03558255296197214,-0.5405098372685393,-0.45585188386692205,1.6685165084071478,-1.1136937431397957,1.4465524237529699,-0.18895149630575256,0.7264886165513365,1.2910975423118536,1.1825858774987403,0.7338604814977131,-0.12856461637231037,-0.47237513603889675,-0.9814323794963266,-0.5008989482242819,1.1127523940318491,0.7427824675558179,-0.8688702582640835
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-05-SDB20130404pair1_0.CNG.swc,-0.10364950350865172,-1.2341655898289967,-1.6108472958451394,-0.48442180282842867,-0.6664009976868188,-0.06636434487904458,-0.47102355527637485,-0.41458545209585346,-1.5168135475213034,-0.5450227046082088,-0.2553390800660829,-0.47949697909236777,-0.7240502464075235,-0.12315144725241603,-1.3166035657604058,0.2647791289845147,0.0018922097145801081,-1.4869222585366524,0.11496005840804957,-0.10950911302412752,-0.6911679666346071,0.29006844814378685,-0.9968612627879313,-1.1539824358165707,-0.1300174407284359,-0.599987425872244,-0.3123187622338795,-0.21103056959051447,-0.7717633908505804,-0.7864161460078922,-0.7522961365969797,-0.973360556495483,-0.6481273198644655,-0.16100976995272823,-0.3169447448874771,-1.9338850733754411,0.9329134586112716
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-14-SDB20130628cell2.CNG.swc,-0.10364950350865172,-0.916126282604874,-1.254677517066037,-0.3423308881784294,-0.3357705132655764,0.6671235872087291,-0.5047346829954843,-0.03606555790784731,-1.1515905271200089,-0.2110175187081778,0.5899142143182802,0.1991376552727798,-0.24889732481004,-0.010705236623972712,1.049479634453321,0.039186709378296575,0.017559714279506748,-0.7317335313591451,-0.14884948822027855,-0.2183278625137023,-0.8041615636591579,0.22747236209634375,-0.7267868455043276,-1.2010147294134925,-0.23186025199235197,-0.43910038202318147,-0.1248418638643446,-0.13473819171023957,-0.6378768484678953,-0.018153936660554443,-0.3364751231138668,-1.2861653102740664,2.2213550384214362,0.45350767989674484,0.33562668065867546,-1.8211094346280716,-0.5419681464177143
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-25-SDB130906c5.CNG.swc,0.8028712037636735,-1.2341655898289967,-1.254677517066037,2.79979578900468,-1.255913326996316,1.0134692793590971,3.021107031471894,-0.4066389122270064,-0.6593770063315944,1.4346577508433294,1.1829197556745072,0.35418225162566597,-0.7240502464075235,-0.08172713513173492,-1.3166035657604058,1.110151007588577,-1.1963004884976927,-1.2069251362920659,0.014226077893824471,0.03558255296197214,-0.5405098372685393,-0.8754621164925555,1.5823960133221515,-1.3709880551700153,1.5047996803275663,0.005584592496708713,1.050212828271916,2.0015636610100342,0.7227629817271692,0.8066622025076289,-0.12856461637231037,-0.17733485541473418,-1.1409832688083617,-0.39167567342322174,-1.527581993517652,0.18409799389731835,0.31103502575910924
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-24-SDB130906c1.CNG.swc,0.8028712037636735,-1.2341655898289967,-1.254677517066037,1.1326262809639682,-1.5167486548745783,-0.26057291090691975,2.507311798088007,-0.8190245554861108,-1.4908249954633293,0.05250082970882421,-0.5718377786209026,-0.7584444646944482,-0.7240502464075235,-0.5388049542253759,-1.3166035657604058,-1.3190745400330521,2.1762078945239383,0.17812950077200998,0.14414122613565203,0.03558255296197214,-0.5405098372685393,-0.9587096253795352,0.27564832496785624,-1.1574406926986973,0.7725022268369454,-0.39662151996826295,0.35520698197489914,0.5107056109725931,-0.5949171455811846,-0.26858085184561686,-0.12856461637231037,-0.29894136886048384,0.9847884418480432,2.0930855637541805,0.6829713430825624,-0.8292047837267719,0.07946062740852165
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-03-SDB20130402pair2_0.CNG.swc,0.34961085012751086,-0.5980869753807514,-0.7204228488973833,-0.9378934979891714,0.5753234881864501,0.31790938779208483,-1.5012664204179895,0.02086590944415356,-1.4616149522536102,-0.7947347655130489,0.1072273849268682,-0.42648756864359316,-0.24889732481004,0.14283705089230211,0.2607836569932786,0.32572676407933365,0.5323964110964775,-1.091882429414395,0.028521902487650443,-0.5085111944859017,-1.1054778223912936,-0.7666878884783876,0.45063225387897965,-1.3343305322194734,0.9341563413797764,-1.2736706967551186,-0.6333805235297426,-0.5179601969890241,-0.1261216536370725,-0.7039696872366381,-1.376027656821649,-0.262491806860342,-2.3007430533145152,-1.5925173153141425,1.8203740644797024,-1.3850926388815463,-1.0671698886963359
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-19-SDB130820c1.CNG.swc,1.256131557399836,6.080738476325823,7.11531228424287,0.350270649182478,-1.4377337562912589,-0.045328624926353464,-1.387097782671813,0.7774733507108704,-0.7436185357579072,0.1707520733892186,-1.5043257796647067,-1.4376965201944598,3.0771731263723443,-0.23278714369958692,0.6923572327122625,0.324049947217726,0.10658047776663955,1.2613175577146303,0.36263153500520245,-0.10950911302412752,-0.6911679666346071,-0.9490798455155416,0.5846277294031396,-0.7182420686686182,-0.5837204233285607,0.2840039437636045,0.07432111930349551,-0.2727809321612064,-0.3367284249092096,1.9165101479728723,-0.12856461637231037,-2.8355103734223013,-0.7303993530580414,1.1528779613572924,-0.23368911274940035,-0.05048236619516239,2.285038149563154
morphology-data/TCs/urban/BurtonUrban2014/tufted-cell-22-SDB130829c2.CNG.swc,0.34961085012751086,-1.2341655898289967,-1.4327624064555882,-0.215908170622363,-1.3127352634681575,0.5671507969285154,-1.2686724733418147,-0.8392558061184735,-2.115444587739299,-1.1457699497529594,-1.0345593102994637,-1.485665067679139,-0.7240502464075235,-0.25093752634104893,-1.3166035657604058,-0.31468220014089926,1.1083519808008906,-0.7015974467637454,-0.039125349971792005,1.0512242148646698,0.5140970682939355,-0.5924860264954507,0.1390460849663102,-1.1126562660751578,-0.9460974604351827,1.14106478931828,0.6196186005013524,0.23906253840608668,-0.3401724517229125,-0.2330130154420744,0.2872563971108025,-0.762999871032548,-0.6915973320478362,-0.08434868395173409,0.255018960911566,-0.7707954086918233,0.1882781116820059
morphology-data/TCs/urban/BurtonUrban2014/SDB131003c2.CNG.swc,-0.10364950350865172,-0.2800476681566288,-0.36425307011828084,-0.4654228724663562,0.7516776534718542,1.3398416616553952,0.9780757937132802,0.8825942268649217,0.8951116169493917,2.879233136142055,0.337170809547761,0.0069885860616926265,0.22625559678744345,-0.23510017635607153,1.049479634453321,0.028552895780935447,0.39622644612282104,-0.9910144586881674,0.14414122613565203,0.10812838595502197,-0.48401303875626384,1.1622103772270025,0.1535583707881776,-1.3844752570103092,0.43157600039230165,-0.12728283287963438,0.9191522446903785,1.973188996991336,0.42252088101419527,0.7513004906667904,0.07934589036924605,-0.5988915998382682,1.071004665336249,-1.1998596424043273,1.3348259304676235,-0.6455548417564193,1.3083787452573745
