,,MAD Basal,MAD Apical,NumberofStemsTest,BasalDendriteNumberofBifurcationsTest,BasalDendriteNumberofBranchesTest,BasalDendriteOverallWidthTest,BasalDendriteOverallHeightTest,BasalDendriteOverallDepthTest,BasalDendriteAverageDiameterTest,BasalDendriteTotalLengthTest,BasalDendriteMaxEuclideanDistanceTest,BasalDendriteMaxPathDistanceTest,BasalDendriteMaxBranchOrderTest,BasalDendriteAverageContractionTest,BasalDendritePartitionAsymmetryTest,BasalDendriteAverageRallsRatioTest,BasalDendriteAverageBifurcationAngleLocalTest,BasalDendriteAverageBifurcationAngleRemoteTest,BasalDendriteFractalDimensionTest,ApicalDendriteNumberofBifurcationsTest,ApicalDendriteNumberofBranchesTest,ApicalDendriteOverallWidthTest,ApicalDendriteOverallHeightTest,ApicalDendriteOverallDepthTest,ApicalDendriteAverageDiameterTest,ApicalDendriteTotalLengthTest,ApicalDendriteMaxEuclideanDistanceTest,ApicalDendriteMaxPathDistanceTest,ApicalDendriteMaxBranchOrderTest,ApicalDendriteAverageContractionTest,ApicalDendritePartitionAsymmetryTest,ApicalDendriteAverageRallsRatioTest,ApicalDendriteAverageBifurcationAngleLocalTest,ApicalDendriteAverageBifurcationAngleRemoteTest,ApicalDendriteFractalDimensionTest
,morphology-data/GCs/Denizet-granule/Denizet2017/10c5nd2.CNG.swc,2.522155534,1.761923528,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,1.062733588,0.144933738,-0.472494482,-0.086954695,0.017661653,0.15096223,-0.009393301,-0.226096699,0.204015475,0.900064576,0.156091494,-0.431012062,0.599082557,-0.425629433
,morphology-data/GCs/Denizet-granule/Denizet2017/2c6nd1.CNG.swc,2.522155534,1.768658612,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,0.403828911,0.587786184,-0.535233715,-0.086954695,0.173967926,0.556796591,0.293974262,-0.845897444,0.509961423,0.150196351,0.156091494,0.271627656,-0.613901916,-0.430494804
,morphology-data/GCs/Denizet-granule/Denizet2017/14c7nd2.CNG.swc,2.522155534,1.808448592,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.493329406,0.637715083,-0.558760927,-0.086954695,0.001028902,0.604953491,0.301197054,-0.845897444,0.521423848,0.150196351,0.156091494,-0.427058266,-0.414008865,-0.464228047
,morphology-data/GCs/Denizet-granule/Denizet2017/2c2nd3.CNG.swc,2.522155534,1.814250351,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,-0.380163375,-0.050998058,-0.573512116,-0.086954695,-0.200963452,-0.119459118,-0.43735402,-0.226096699,0.736561139,-0.974603737,0.156091494,-0.273986406,-0.2089508,-0.160304503
,morphology-data/GCs/Denizet-granule/Denizet2017/6c9nd1-2.CNG.swc,2.522155534,1.815987994,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,0.537422267,-0.341266015,-0.617205511,-0.086954695,-0.159078991,-0.344353985,-0.584668013,-0.226096699,0.534152062,0.900064576,0.156091494,0.452917235,-0.585516745,-0.502502303
,morphology-data/GCs/Denizet-granule/Denizet2017/14c4ns1-2-1.CNG.swc,2.522155534,1.827283057,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.178374871,0.122849474,0.245906211,0.692549364,-0.585835894,-0.086954695,0.230914905,0.575518985,0.263638538,-0.226096699,0.440952469,0.900064576,0.156091494,0.256636384,-0.895084724,-0.008180552
,morphology-data/GCs/Denizet-granule/Denizet2017/15c3ns1.CNG.swc,2.522155534,1.846504687,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.445151893,-0.219001222,-0.570897981,-0.086954695,-0.332524542,-0.278926777,-0.427902481,-0.845897444,0.636376264,0.150196351,0.156091494,0.605413821,-0.671005074,-0.483689533
,morphology-data/GCs/Denizet-granule/Denizet2017/9c2ns2.CNG.swc,2.522155534,1.868089742,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,0.724666551,0.569683764,0.301797539,0.346966448,-0.527391311,-0.086954695,0.198630466,0.374476424,0.066363464,-0.226096699,0.022679445,-0.599671874,0.156091494,0.798140643,0.72900792,-0.59559308
,morphology-data/GCs/Denizet-granule/Denizet2017/2c2nd2.CNG.swc,2.522155534,1.890561411,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,-0.36791681,-0.323984815,-0.352200169,0.708707543,-0.539341641,-0.086954695,-0.040994188,0.602061221,0.439038872,-0.845897444,0.657871241,0.150196351,0.156091494,-0.47797984,-0.593062656,-0.277073421
,morphology-data/GCs/Denizet-granule/Denizet2017/12c4nd1-2-1.CNG.swc,2.522155534,1.899556069,-2.211394124,-0.59727958,-1.398365996,-0.468447256,-0.427606628,-0.815622173,-0.443652367,-1.139909336,-0.4718792,-0.525002454,-0.333016064,-0.467318413,-0.122862979,-0.194041246,-0.298972785,-0.29043506,-0.656718628,1.270958232,1.016518053,0.157525637,-0.109677763,-0.451954852,-0.086954695,0.065368511,-0.156237374,-0.401229743,0.393704047,0.279869067,-0.299723684,0.156091494,0.273787374,0.160088435,-0.270586258
